"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"Other lab:1400565835","wbca",0,0.0144891189013834,0,0.00984078536399876
"Other lab:800016362","yeast",0,0.0227884151332966,0,0.0184347202252468
"Other lab:800021899","pocpro",0,0.144320567194188,0,0.146006802216117
"Other lab:800021901","poc-uro",0,5.46093588850711e-06,0,0.00368217333521218
"Other lab:800022039","pocbld",0,3.89090132077332e-08,0,0
"Other lab:800023423","perform",0,0.0311762769201618,0,0.016539540589691
"Other lab:800027609","poc-leu",0,0.00264727912361244,0,0
"Other lab:800027610","poc-glu",0,6.99178990931194e-08,0,0
"Other lab:800057670","glu",0,0.0271978071125263,0,0
"Other lab:800059138","protein",0,0.000326907567956509,0,0.011939372238673
"Other lab:800061247","clx?",0,0.025052676489792,0,0.0214878353502096
"Other lab:800064948","protein",0,0.0901620092397846,0,0.0596310991887324
"Other lab:800068433","ur.bld",0,0.0261697517917408,0,0.0318034314248093
"Other lab:800068439","leu est",0,2.83939645625173e-06,0,0.00347439613291894
"Other lab:800068759","glucose",0,4.16614955360098e-05,0,5.59858343312067e-07
"Other lab:800070158","zglu",0,2.96744119897227e-05,0,0
"Other lab:800070502","ur. bld",0,0.00232127185483451,0,0
"Other lab:800071086","ur.prot",0,7.08090137544563e-05,0,0
"Other lab:800071753","uric ac",0,0.0527472933001753,0,0.0465177675319944
"Other lab:800077850","ururo",0,0.0374225568471949,0,0.0232395625228667
"Other lab:800078329","blood",0,0.000203069189482872,0,5.19436617285069e-07
"Other lab:800079862","ur leu",0,0.000139412341931523,0,0.00071539371460828
"Other lab:800080518","wbc",0,0.0226613765380579,0,0.0237201009462307
"Other lab:800080856","microsc",0,0.0182910220211599,0,0.00559795604645102
"Other lab:800081047","leu ase",0,0,0,1.56028998934776e-06
"Other lab:800081546","urobili",0,0,0,6.97955326546777e-07
"Other lab:800081701","leu ase",0,0.0278379318649043,0,0.0118277989839767
"Other lab:800082233","urobili",0,0.0297244235047039,0,0.0200651577739271
"Other lab:800082629","ur.prot",0,0.0323846748235105,0,0.0284407907649898
"Other lab:800082837","ur.bld",0,1.13997956917902e-06,0,0
"Other lab:800085139","ur.glu",0,0,0,0
"Other lab:800221194","aua glu",0,0.1515333905945,0,0.116798367854959
"Other lab:800221198","aua bld",0,4.06915341023134e-07,0,0
"Other lab:800221200","aua pro",0,1.15261399900507e-17,0,0
"Other lab:800221656","aua uro",0,2.48081484098142e-08,0,0
"Other lab:800221658","aua le",0,0,0,0
"Other lab:800238056","ur glu.",0,0.0874712856891316,0,0.0781031856751652
"Other lab:800238057","ur pro.",0,2.3129223532359e-07,0,2.74109037011618e-06
"Other lab:800238059","ur urobil",0,4.39408806458371e-08,0,0
"Other lab:800238154","leuk est",0,0,0,0
"PheCode:189.1","cancer of kidney and renal pelvis",-0.00756840963993861,0.010590235505542,0,0.0106470054277547
"PheCode:189.2","cancer of bladder",0.184194191225267,0.0644642226892271,0.160817001962367,0.0873987283179711
"PheCode:189.4","malignant neoplasm of other urinary organs",-0.00737106829262333,0.0386717202277155,0,0.0314179576433091
"PheCode:223","benign neoplasm of kidney and other urinary organs",-0.0125949519436786,0.0592165006322662,0,0.0597225752309735
"PheCode:592.1","cystitis",-0.00174349248268614,0.0116878930512892,0,0.00968331071119703
"PheCode:593.1","gross hematuria",-0.00284680430851849,0.00247775046661553,0,0.0011100554904559
"PheCode:593.2","microscopic hematuria",0.000964016975941166,0.00836324622306977,0,0.00407020764150166
"PheCode:594.1","calculus of kidney",-0.0141540521226255,-0.0190838548057596,0,-0.00248911750992807
"PheCode:594.3","calculus of ureter",-0.00531624734930248,-0.00427193283017672,0,0
"PheCode:597.1","urethral stricture not specified as infectious",-0.0065175951200452,0.00778300767263088,0,0.0119079789922801
"PheCode:598.9","other nonspecific findings on examination of urine",0,0.0264122644339747,0,0.0089130522666925
"PheCode:599.3","dysuria",-0.00485961053496462,0.0186553680597034,0,0.0125967852040728
"PheCode:599.5","frequency of urination and polyuria",-0.00852722145640513,0.000576700525376884,0,0
"PheCode:599.8","other symptoms involving urinary system",0,0,0,0
"PheCode:599.9","other abnormality of urination",0.000486590987912073,0.00069320102355604,0,0
"PheCode:796","elevated prostate specific antigen [psa]",-0.00232394973103595,-0.00318781324073793,0,0
"RXNORM:50610","goserelin",0,0.0139619675635952,0,0.020295446803674
"RXNORM:5880","interferon alfa-2b",-0.00201227200460517,0.0622566004107544,0,0.0598213909639859
"RXNORM:632","mitomycin",0.0346470367740842,0.0634536556157978,0.0237061209983549,0.0560045677706862
"RXNORM:6387","lidocaine",0.103699476886043,-0.00445611034412777,0.115666490525165,0
"RXNORM:7454","nitrofurantoin",-0.00916143413712864,0.0165158267699897,0,0.00391002601875221
"RXNORM:76469","bcg, live, connaught strain",0,0.338826754162688,0,0.354909644441551
"RXNORM:8120","phenazopyridine",-0.00310135698601426,0.00593091630089265,0,0
"ShortName:Bilirubin Stick","bilirubin stick",0,0.0191062050083188,0,0.0231728146376992
